iter	Passed	Remaining
0	0	68
1	1	62
2	1	59
3	2	60
4	3	59
5	3	57
6	4	56
7	4	54
8	5	52
9	5	52
10	6	50
11	6	49
12	7	48
13	7	47
14	8	46
15	8	45
16	9	44
17	9	44
18	10	44
19	10	43
20	11	42
21	11	42
22	12	41
23	12	40
24	13	39
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	34
33	17	34
34	18	33
35	18	32
36	19	32
37	19	31
38	20	31
39	20	30
40	20	30
41	21	29
42	21	29
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	26	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	48	0
98	49	0
99	49	0
